n,seccion,comentario_limpio
4707,1,Excelente servicio 👌🏼
4708,2,"Me encanta la logística, los sabores y las atenciones."
4709,1,"Ninguno, sigan así 😉"
4710,1,"Solo que estén más calientes los platillos, pero excelente todo lo demás."
4711,1,"El sabor del pozole ha perdido un poco de sabor, pero lo demás ha estado muy bien, gracias."
4712,1,Queremos una sucursal en plaza Centella o en Melchor Ocampo.
4713,1,Todo bien.
4714,2,Ninguno
4715,1,Excelente servicio
4716,1,Me encanta.
4717,1,Me gustaría que dieran tasas otra vez.
4718,5,"Excelente servicio, sabor y calidad."
4719,1,Todo bien
4720,1,Pueden mejorar.
4721,1,Todo bien
4722,5,"Salsas más picantes, jugos naturales no se sobre."
4723,1,"Todo bien, gracias."
4724,1,Felicidades por su servicio.
4725,5,"TODO PERFECTO, GRACIAS."
4726,2,"Yo entré con un bebé y no me ofrecieron una periquera, siendo que desde recepción dije que la necesitaba."
4727,2,"Todo muy bien, rico y muy limpio."
4728,1,"Ninguno, sigan así."
4729,1,Estoy satisfecho con el trabajo de todos.
4730,2,Muy buena atención
4731,2,El flan de la abuela no me gustó el cambio de sabor.
4732,4,Gracias
4733,2,Sigan así de eficientes.
4734,5,Ninguna ninguna
4735,5,Puede suceder un accidente con los meseros porque se hace cuello de botella donde reciben las bebidas y alimentos.
4736,5,Un muy buen servicio.
4737,2,Excelente servicio 👍
4738,5,Muchas gracias por todo.
4739,2,Ninguno
4740,4,Han bajado un poco la calidad de los alimentos.
4741,2,¡Felicidades!
4742,5,Nos encantó esta primera visita.
4743,1,Muy buen servicio.
4744,2,Ninguno
4745,4,Servir un poco más caliente el pozole.
4746,5,Páguenles bien a sus colaboradores y no los traten tanto feo 😑
4747,5,Que los meseros no corran.
4748,1,Buen trato y servicio.
4749,5,¡Todo maravilloso!
4750,4,Excelente servicio.
4751,5,Excelente servicio y buena personalidad.
4752,5,"En el pozole me salió un gusanito como creció, sugiero revisar de dónde salió."
4753,4,Que sirvan más rápido los alimentos.
4754,1,Ninguno
4755,1,Excelente servicio. Gracias.
4756,4,Estaba bueno cuando dejaban todas las salsas en la mesa.
4757,1,Muy rico. Gracias.
4758,5,Felicidades por la comida excelente!
4759,2,"La sucursal es muy pequeña, acaban de desocupar el local de al lado. Ahora es cuando."
4760,2,Excelente
4761,1,No tener leche desactivada.
4762,4,Personal amable
4763,4,Que haya cóctel de frutas y ensaladas.
4764,1,"A veces, el sabor del pozole es diferente."
4765,1,Todo excelente 👌
4766,2,La flauta de carne sabe fea.
4767,4,Me pareció bien el servicio que tienen.
4768,2,"Sus trabajadores son excelentes, espero que sean recompensados como lo merecen."
4769,1,Me trajeron tortillas recalentadas.
4770,5,Bueno
4771,5,El servicio fue genial; todos los que trabajan aquí son muy eficaces.
4772,2,Mejorar la calidad de la tortilla.
4773,1,"Excelente sabor, precio, atención y rapidez. Muy recomendable. 👌"
4774,5,"Excelente la comida, el servicio y la atención 10/10."
4775,5,"Excelente servicio y el sabor ni se diga, la atención de Melissa al momento de pedir fue magnífica."
4776,5,"El pozole de repente está un poco sencillo, no le ponen muchos granos."
4777,5,"No, ninguno."
4778,5,"Que el personal deje de correr y haga todo con mayor cordialidad. Es feo estar comiendo y que ellos estén corriendo, como si te apuraran a que te retires."
4779,2,Excelente servicio.
4780,5,Excelente todo. Sigan así.
4781,5,Soli5 se acepta. La tarjeta inapan para contribuir a la frecuencia de comer.
4782,2,"Muy bueno todo en cuanto a calidad y servicio, pero te apuran mucho para desocupar la mesa."
4783,2,El pollo estaba muy viscoso en el pozole.
4784,1,Gracias por el servicio.
4785,1,Ninguno
4786,4,Muy buena sucursal. 👍
4787,5,Excelente
4788,1,Todo excelente.
4789,1,Muchas gracias.
4790,1,Felicitaciones a los meseros.
4791,4,Esta vez se tardaron más de 20 min en traer dos quesadillas y llegaron de queso y las que pedí eran de queso con papa ....
4792,1,Me gustaría volver a la casa de Toño más de 5.
4793,1,Cuentan con un buen servicio.
4794,5,"Abrir más restaurantes para desahogar un poco los demás, hacerle más promoción a sus tacos ya que son mejores que muchos de los restaurantes de carnitas. Felicidades, el mejor pozole de la CDMX. Saludos desde Córdoba."
4795,5,Excelente la atención y preocupación de los meseros y el capitán. Muchas gracias y saludos desde Chile.
4796,1,Excelente
4797,1,Arriba el América
4798,1,Gracias por la excelente atención.
4799,5,El pozole está increíble.
4800,4,"El pozole estaba tibio, lo calentaron, pero aún no quedó bien caliente."
4801,1,Ninguno
4802,2,El pollo no tenía sabor; mejorar en ello.
4803,1,Felicidades
4804,1,"Servicio bien, precios bien, platillos regulares a malos."
4805,5,Poner una casa tono en encuentro Oceanía.
4806,2,"El guacamole no lo acepté porque no estaba fresco, estaba un poco oscuro."
4807,1,Todo EXCELENTE
4808,2,Muy buena comida.
4809,2,Ya deberían tener más variedad de postres.
4810,1,Todo excelente.
4811,2,Que avisen que los cafés contienen azúcar.
4812,4,"Uno de mis tacos de bistec traía muy, muy poca carne."
4813,2,"Se me hace algo caro, pero bueno, ahí va uno a consumir. Pero si checo los precios, no puede ser que un vaso de agua cueste 42 pesos."
4814,4,Que agreguen hamburguesa mexicana y pambazos.
4815,2,Hacer los sopes más suaves ayudaría a poder disfrutarlos más.
4816,5,"La atención es muy buena, nos gusta la sazón aunque si pudieran incluir otros platillos."
4817,2,"Todo muy rico, como siempre. :)"
4818,2,Incluir enmoladas.
4819,1,Que tenga en servir los alimentos calientes. Mi sope estaba muy frío.
4820,4,"Excelente lugar, los accesos para personas adultas, el lugar limpio, amplio. Resumiría con: es un muy buen establecimiento."
4821,1,"COMPRENDO QUE HAY PERSONAS ESPERANDO AFUERA, PERO ES EXAGERADA LA PRESIÓN DE RETIRAR LOS PLATOS SUCIOS Y LA COMIDA AÚN CUANDO NO SE HA TERMINADO DE COMER. APRECIARÍA QUE MEJOR ESPECIFICARAN EN LA ENTRADA CUÁL ES EL TIEMPO LÍMITE."
4822,1,Me encanta el servicio; todos son muy amables.
4823,5,Todo nos gustó.
4824,2,Que los de camisa azul no les griten a los meseros y la comida estaba muy caliente.
4825,2,Excelente servicio
4826,2,Todo es excelente 🙂
4827,5,Bueno
4828,1,La atención fue excelente por el cap. José Benítez y la encuestadora Magdalena Alcaraz.
4829,1,El servicio es excelente y súper buena la atención de todo el personal.
4830,4,Ninguno
4831,5,Excelente servicio
4832,2,Continuar igual.
4833,5,Muy bien atendidos.
4834,5,Excelente calidad y servicio por parte del personal... Sin duda alguna volveré a regresar. Ya pongan una sucursal en Pachuca.
4835,2,Sigan con el buen servicio.
4836,1,Que abran una sucursal en Pachuca.
4837,5,"Primera vez pensé que tardaría más en entrar, pero pasamos rápido."
4838,1,Que abran una sucursal en Pachuca.
4839,1,"La señora Magdalena, muy atenta y respetuosa, excelente servicio y atención."
4840,5,Excelente servicio
4841,2,Las limonadas no tienen nada de limonada.
4842,5,Muy bueno.
4843,1,"El jugo verde a últimas, está muy dulce."
4844,5,"Todo me encantó: sabor, servicio, dirección, atención y decoración."
4845,5,Lo único malo fue que pedí unas quesadillas con queso y me mandaron una sin queso. No realicé comentarios y pagué el costo normal.
4846,4,"Estábamos teniendo una buena experiencia, pero la salsa roja estaba echada a perder y nos arruinó los bocados. Es urgente que traten eso porque no quiero permitir otra experiencia así."
4847,2,No hay señal donde estoy y mi trabajo me impide quedarme.
4848,1,"A la hora de la cuenta, se tardan en cobrar. Que sea más rápido, gracias."
4849,5,"¡Sí! Porque, o sea, de verdad, ¿por qué cambiaron la cerveza a Grupo Moctezuma? De verdad, eso quita muchos puntos. Yo de mínimo llevaría 10 y ahora solo 2. Eso sí, muy mal. Por ganar más con la cerveza, sacrificas la calidad."
4850,5,Excelente servicio
4851,2,Muy rico todo.
4852,1,Todo está perfecto.
4853,1,Solo puedo felicitar el excelente servicio que tienen desde cocina hasta la recepción. Muchas gracias.
4854,4,Muchas felicidades. Son increíbles.
4855,2,El único detalle fue que solicité mis bebidas sin hielo y ambas traían. Gracias.
4856,5,Gracias por sus atenciones.
4857,1,Excelente servicio 👍
4858,5,Excelente servicio
4859,5,Delicioso
4860,4,Excelente servicio y muy rápidos.
4861,5,"Está bien, rico, jeje."
4862,5,Excelente servicio y buena comida.
4863,5,"La comida, muy rica y muy buena atención."
4864,5,"Excelente servicio, muy amables todos."
4865,5,Excelente servicio 👍
4866,1,Que hagan descuento de INAPAM y alimentos light para diabéticos.
4867,5,Todo muy rico.
4868,5,Comida con menos sal.
4869,1,Muy buena atención y los alimentos muy ricos.
4870,5,Corren mucho por los pasillos.
4871,5,Todo satisfactorio. ¡Felicidades!
4872,2,Los sabores cambiaron; me gustaba más antes.
4873,5,Todo bien
4874,5,La comida es muy rica.
4875,4,Un poco tibio el pozole.
4876,5,Mucha gente y mucho ruido.
4877,5,Visitamos mucho este restaurante.
4878,1,"Todo muy bien, buena atención de los meseros."
4879,1,Solo que surta bien el pozole.
4880,5,"Precio, calidad y servicio siguen siendo muy buenos desde que se fundó en Azcapotzalco. Gracias."
4881,5,Saludos desde Cancún.
4882,5,Una sucursal en Pachuca
4883,4,Muy buen servicio.
4884,1,Muy rico
4885,5,"Excelente servicio, mis amigos de la casa de Toño son muy buenos en todos los servicios que ofrecen. Mil gracias. 🫂"
4886,5,La señorita Ana Graciela tiene una actitud excepcional.
4887,5,Podrían cerciorarse de que el platillo esté bien caliente antes de entregarlo.
4888,1,"Nada, su servicio y personal son excelentes. 👌"
4889,5,"Cuando ingresas a la recepción, te indica el número de mesa, mismo número que, como comensal, desconozco. Sería más grato que, entre tantos meseros, te ubiquen tu mesa asignada."
4890,5,No sobrecocer el maíz de pozole.
4891,4,Simplemente... ¡Me encanta!
4892,5,DELICIOSO TODO
4893,1,"Pues ninguno, excelente servicio."
4894,5,Todo exquisito y gran atención.
4895,5,Que regresen las tostadas de antes.
4896,5,"Muy buen servicio, gracias."
4897,1,La porción de la crema es inadecuada.
4898,4,"Muy buen servicio, muy amables los meseros."
4899,5,Excelente servicio y atención de todos. ¡Felicidades!
4900,4,"Excelente servicio, atención y alimentos... ¡Gracias!"
4901,5,Excelente servicio
4902,5,Pedí al último unas bebidas y nunca llegaron. Le pedí la cuenta a una mesera y ni siquiera nos hizo caso hasta que le volvimos a hablar.
4903,5,Que pongan más atención con los clientes.
4904,4,Tengan cuidado con el pozole porque llegué a cenar a las 8 y media y ya estaba muy batido el grano.
4905,1,Gracias.
4906,1,El servicio es excelente y muy atento.
4907,5,Todo muy bueno.
4908,1,Todo excelente
4909,1,Todo está muy rico y el servicio es excelente.
4910,1,Poner agua de jamaica en el menú.
4911,5,"Excelente servicio, el encargado Daniel muy amable."
4912,5,Excelente servicio de Daniel Vargas.
4913,5,"Daniel, el capitán, muy atento y presto."
4914,5,"Todo muy bien, gracias, sigan así."
4915,4,"Sería mejor que, cuando se pide más de un platillo para el mismo comensal, no lo traigan al mismo tiempo porque se enfría."
4916,5,Excelente servicio y sabor del pozole. Me hizo no extrañar el que se hace en Guadalajara.
4917,4,Todo excelente.
4918,4,EXCELENTE
4919,5,Todo delicioso y el personal muy amable.
4920,4,Que tengan Wi-Fi en la sucursal.
4921,1,"Excelente atención del mesero Eduardo, muy servicial y atento, muy movido y amable."
4922,5,Muy buen servicio.
4923,5,Muy bueno
4924,5,Me gustaría que tuvieran diversos tipos de leche para los productos lácteos.
4925,5,Prueba
4926,4,Siempre un trato excelente.
4927,5,El señor Germán fue muy amable y atento con el servicio.
4928,5,Gran atención del personal :)
4929,5,"Hace un mes estuve aquí y fue una muy mala experiencia; inclusive hice esta encuesta y fue bastante extensa. Hoy, nuevamente, mala experiencia: panqué de elote casi congelado, frijoles helados. La mesera tuvo un excelente servicio. Ahora sí llamé al gerente para darle mi queja y su respuesta fue: “que se tienen que mantener en refrigeración los panes para su conservación” y que por eso se tienen que sacar de la cámara y mandar a la mesa… Esas contestaciones no se le pueden dar a los clientes; la mayoría no conocen del proceso de enfriamiento, descongelación, tiempos de vida, inocuidad, etc. El cliente paga por un servicio y comida de calidad. Y como se lo dije al gerente, yo trabajo en esto desde hace 36 años y sé perfectamente todos estos procesos, pero lo que ustedes deben asegurar es que no llegue ningún alimento a la mesa en esas condiciones (casi congelado y frío), no dar esas explicaciones. Como comentario, revisen sus horarios de personal; se les llenó la unidad y seguían con la misma cantidad de meseros y ayudantes, lo que afectó su servicio y se volvió lento; no limpiaban las mesas, tardaban en traer las cosas que se pedían durante la estancia. En sus encuestas deberían contactar a sus clientes que se toman la molestia de ponerles comentarios. Gracias a ellos podemos mejorar en esta industria y, cuando son contactados, se sienten escuchados y valorados; con esto se genera lealtad a la marca."
4930,5,Todo muy bien para ser la primera vez que los visito. ¡Muchas gracias!
4931,5,Todo excelente!
4932,2,El capuchino está muy feo. El parque de elote no está tan rico. El chocolate caliente está muy cargado. Los chilaquiles rojos son deliciosos.
4933,5,Sobre la recepción fue algo grosera al recibirnos.
4934,4,MAS CARNE AL POZOLE
4935,5,Deberían tener una sucursal en la ciudad de Monterrey.
4936,4,Les recomiendo no tirar los alimentos cuando hay una equivocación. Existe muchas personas que NO TIENEN absolutamente nada que comer. Donen la comida a alguna fundación.
4937,1,Capuchino muy dulce.
4938,5,"Te envío muy buen sabor en su comida, por eso vinimos aquí."
4939,1,"Váyanse a Querétaro, nos hacen falta."
4940,5,"Los tacos de cabeza, muy ricos. Excelente servicio."
4941,5,Muy buen trato al cliente y precio.
4942,5,Mejoren su café. Que sea de grano y al momento.
4943,5,Muy buen servicio de los meseros. Cuídenlos y aprecienlos mucho.
4944,5,Muy rápidos
4945,5,"Gran equipo, continúen así. ¡Felicidades!"
4946,4,"Todo rico, gracias."
4947,5,Todo muy rico y rápido.
4948,2,Servicio y calidad excelentE.
4949,2,Todo genial.
4950,4,Ojalá regresen los aguacates y no el guacamole.
4951,1,"Tienen excelente atención al cliente, la entrega de los alimentos es inmediata y el sabor, de igual manera, es muy bueno."
